distro,version,module,package,arch,build_id,source_url
ubuntu,17.2.6-0ubuntu0.22.04.1,librbd.so.1,librbd1,amd64,ce5c5fbf27f371387f2566be0759affe2d47ec3e,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.1/+build/26228662/+files/librbd1_17.2.6-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.2,libceph-common.so.2,librados2,amd64,29532fd24051236703d09cee5217d7b42e5ce2ab,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.2/+build/26770107/+files/librados2_17.2.6-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.2,librados.so.2,librados2,amd64,923e5e5d13554c263fa615bcc4e16c2dc039b1ef,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.2/+build/26770107/+files/librados2_17.2.6-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.2,librbd.so.1,librbd1,amd64,ec9806c8c9149360eb9a51357791c3d982de8dc9,https://launchpad.net/ubuntu/+source/ceph/17.2.6-0ubuntu0.22.04.2/+build/26770107/+files/librbd1_17.2.6-0ubuntu0.22.04.2_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.3,libceph-common.so.2,librados2,amd64,d25ebfac79b7a9395904bf93bb8dd04df31d8721,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668892/+files/librados2_17.2.6-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.3,librados.so.2,librados2,amd64,21ef9b94e2f96e6f5c767a35e1fc6a74a9fb5c73,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668892/+files/librados2_17.2.6-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.3,librbd.so.1,librbd1,amd64,6005fbe9f0c62cc81fcf79643d9e5875f6eb967c,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668892/+files/librbd1_17.2.6-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.6-0ubuntu0.22.04.3,ceph-osd,ceph-osd,amd64,82b1bd65d889f7b6eb4223a95d81da84b1d2855a,https://launchpad.net/~ubuntu-security-proposed/+archive/ubuntu/ppa/+build/27668892/+files/ceph-osd_17.2.6-0ubuntu0.22.04.3_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1,libceph-common.so.2,librados2,amd64,d8d28791be0c47901ede5933d2b05a9d3f0d4683,https://launchpad.net/ubuntu/+source/ceph/17.2.7-0ubuntu0.22.04.1/+build/27852829/+files/librados2_17.2.7-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1,librados.so.2,librados2,amd64,cafadffdf5eb235b5d18c6c05f48a3c378ee4b69,https://launchpad.net/ubuntu/+source/ceph/17.2.7-0ubuntu0.22.04.1/+build/27852829/+files/librados2_17.2.7-0ubuntu0.22.04.1_amd64.deb
ubuntu,17.2.7-0ubuntu0.22.04.1,librbd.so.1,librbd1,amd64,868313943d1043b82b0b2e5cc8c60874a32cc98b,https://launchpad.net/ubuntu/+source/ceph/17.2.7-0ubuntu0.22.04.1/+build/27852829/+files/librbd1_17.2.7-0ubuntu0.22.04.1_amd64.deb
